Experence,Apttitude ,Coding,Salary
5,10,6,4961
10,5,1,7618
12,10,2,9397
5,7,5,6803
6,3,1,5503
9,2,8,1990
7,2,7,3362
2,4,9,8627
8,6,2,7449
3,10,2,8256
5,3,1,2344
14,1,1,6639
12,4,1,5787
10,9,6,7072
11,9,7,4163
12,6,4,9502
1,3,4,1795
9,2,1,8446
9,3,1,9772
12,7,4,5688
14,1,7,7518
7,8,10,3031
13,1,10,3565
1,3,3,3613
9,6,9,5091
4,7,2,8567
10,6,6,6945
4,6,1,8250
1,5,3,4301
15,8,7,5884
4,10,2,9282
5,6,9,9639
3,6,4,6192
15,7,6,5081
12,3,9,9156
1,2,3,9550
4,3,10,1378
15,6,1,4163
8,1,6,6459
13,8,1,5278
13,1,7,7971
5,10,9,6126
2,6,7,8509
12,4,8,7522
4,8,4,3247
2,10,8,8414
4,5,2,9720
1,8,8,9053
3,1,5,5975
5,9,4,7248
11,1,4,7926
13,9,5,8928
5,10,2,5251
7,3,2,6426
15,5,7,7289
14,4,4,9130
10,8,4,8417
8,4,9,8669
10,4,8,4128
13,9,9,4912
1,7,8,1410
4,8,5,2220
11,1,1,8373
1,3,10,3049
6,6,9,7112
13,7,9,3459
14,6,3,7767
12,3,7,6247
2,1,4,5242
3,4,2,6041
11,1,3,7079
13,3,4,3206
15,3,6,3375
9,6,7,8637
11,10,5,2783
7,8,2,5670
10,5,4,1505
4,10,5,7602
7,3,10,4172
3,9,4,9555
6,6,9,7083
15,7,7,1434
14,4,4,2630
12,7,3,6957
12,8,8,9443
9,3,5,6100
2,1,7,6903
4,9,9,5609
6,3,7,8784
8,3,10,4720
2,5,2,8930
5,7,1,6169
4,1,4,4285
15,5,10,6299
12,10,8,3908
14,9,6,3643
8,1,5,2324
11,6,4,7538
9,3,1,8943
3,6,3,4266
